Full Name,Pace Total,Shooting Total,Passing Total,Dribbling Total,Defending Total,Physicality Total,Position
Lionel Messi,81,89,90,94,34,64,MID
Karim Benzema,80,88,83,87,39,78,ATK
Robert Lewandowski,75,91,79,86,44,83,ATK
Kevin De Bruyne,74,88,93,87,64,77,MID
Kylian Mbappé,97,89,80,92,36,76,ATK
Mohamed Salah,90,89,82,90,45,75,ATK
C. Ronaldo dos Santos Aveiro,81,92,78,85,34,75,ATK
Virgil van Dijk,81,60,71,72,91,86,DEF
Harry Kane,68,91,83,82,47,82,ATK
Neymar da Silva Santos Jr.,87,83,85,93,37,61,ATK
Heung Min Son,88,89,82,86,42,69,ATK
Carlos Henrique Venancio Casimiro,63,73,75,72,87,90,MID
Sadio Mané,90,83,80,88,44,77,MID
Joshua Kimmich,68,72,87,84,83,79,MID
N'Golo Kanté,72,66,74,81,87,82,MID
Rúben Santos Gato Alves Dias,63,39,66,68,88,88,DEF
Erling Haaland,89,91,65,80,49,87,ATK
Bernardo Mota Carvalho e Silva,77,78,84,92,61,68,MID
João Pedro Cavaco Cancelo,85,73,85,85,81,73,DEF
Marcos Aoás Corrêa,79,56,75,74,89,80,DEF
Toni Kroos,53,81,90,81,71,68,MID
Luka Modrić,73,76,89,88,72,66,MID
Antonio Rüdiger,82,53,71,67,86,85,DEF
Rodrigo Hernández Cascante,58,72,78,79,83,84,MID
Fábio Henrique Tavares,66,69,78,77,86,83,MID
Thomas Müller,69,84,83,80,56,71,MID
Marco Verratti,60,61,87,91,79,66,MID
Trent Alexander-Arnold,76,69,89,80,80,73,MID
Andrew Robertson,80,61,81,81,82,76,DEF
Kalidou Koulibaly,82,33,59,68,88,85,DEF
Leon Goretzka,78,82,82,83,81,86,MID
Frenkie de Jong,82,69,86,87,77,78,MID
Thiago Alcântara,61,72,87,90,72,69,MID
Ciro Immobile,85,87,68,80,39,75,ATK
Romelu Lukaku,80,85,75,77,38,82,ATK
David Alaba,79,71,83,80,85,77,DEF
Raheem Sterling,90,80,78,86,45,67,ATK
Riyad Mahrez,80,83,81,90,38,60,ATK
Paulo Dybala,80,85,85,90,40,59,MID
Thiago Emiliano da Silva,49,54,73,72,87,76,DEF
Bruno Miguel Borges Fernandes,72,86,88,81,67,76,MID
Daniel Parejo Muñoz,50,83,90,80,71,68,MID
Aymeric Laporte,61,50,72,69,86,79,DEF
Kingsley Coman,92,77,79,87,30,61,MID
Marcelo Brozović,69,74,81,81,81,78,MID
Nicolò Barella,79,76,83,84,77,81,MID
Lautaro Martínez,83,83,72,85,48,84,ATK
Milan Škriniar,78,41,57,69,88,86,DEF
Christopher Nkunku,88,81,83,88,65,66,MID
Vinícius José de Oliveira Júnior,95,79,74,90,29,67,ATK
Sergej Milinković-Savić,68,80,82,82,79,86,MID
Niklas Süle,71,48,66,59,85,83,DEF
Nabil Fekir,83,82,82,87,38,80,MID
Serge Gnabry,82,84,79,85,43,69,MID
İlkay Gündoğan,64,80,85,85,72,72,MID
Kyle Walker,91,63,77,78,80,82,DEF
Pierre-Emerick Aubameyang,87,84,74,79,36,68,ATK
Jordi Alba Ramos,84,70,82,82,77,70,DEF
Sergio Busquets Burgos,42,62,79,79,82,73,MID
Iago Aspas Juncal,82,85,79,86,35,63,ATK
Paul Pogba,67,80,85,85,62,80,MID
Memphis Depay,83,84,82,86,30,79,ATK
Luiz Frello Filho Jorge,54,67,86,81,73,73,MID
Marcos Acuña,76,74,83,87,80,83,DEF
Gerard Moreno Balagueró,78,86,77,83,46,72,ATK
Yannick Carrasco,89,82,80,87,53,67,MID
Filip Kostić,84,78,82,82,68,80,MID
Jamie Vardy,84,84,70,79,52,72,ATK
Pedro González López,79,67,81,87,68,73,MID
Phil Foden,82,78,81,88,56,60,MID
Matthijs de Ligt,75,59,61,69,84,87,DEF
Patrik Schick,78,83,71,83,36,76,ATK
Theo Hernández,93,72,76,81,78,83,DEF
Diogo José Teixeira da Silva,85,83,75,85,57,77,ATK
Marco Reus,70,84,84,85,53,65,MID
Lucas Hernández,77,54,70,71,84,80,DEF
Sergio Ramos García,61,69,73,70,83,77,DEF
Alejandro Gómez,86,78,83,85,39,54,MID
Dries Mertens,78,82,80,87,34,49,ATK
Luis Suárez,70,86,78,78,46,81,ATK
Dušan Tadić,68,81,86,84,43,77,ATK
Domenico Berardi,82,81,81,86,36,71,MID
Thomas Partey,65,71,81,80,80,83,MID
Hakan Çalhanoğlu,67,80,85,86,68,64,MID
Mateo Kovačić,70,69,83,88,71,71,MID
Jack Grealish,76,76,83,87,46,69,ATK
